sample_id,category,source,source_sample_id,class,transformation,severity_target,expected_detection,expected_annotation_state,evidence_confidence_target
clean_person,clean,synthetic,ref_person,person,none,0,True,valid,1.0
clean_vehicle,clean,synthetic,ref_vehicle,vehicle,none,0,True,valid,1.0
clean_box,clean,synthetic,ref_box,box,none,0,True,valid,1.0
clean_forklift,clean,synthetic,ref_forklift,forklift,none,0,True,valid,1.0
duplicate_001,duplicate,synthetic-duplicate,ref_person,person,exact_duplicate,0,True,valid,1.0
near_duplicate_001,near_duplicate,synthetic-derivative,ref_person,person,minor_blur,0.15,True,valid,0.91
mislabeled_001,mislabeled,synthetic-label-error,ref_person,vehicle,label_swap,0.8,True,label_error,0.52
corrupted_001,corrupted,synthetic,,person,pixel_block_corruption,0.9,True,corrupt,0.46
outlier_001,outlier,synthetic,,box,visual_outlier,0.75,True,valid,0.55
contamination_001,contamination,synthetic,,vehicle,source_contamination,0.8,True,valid,0.52
distribution_shift_001,distribution_shift,synthetic,,person,background_shift,0.55,True,valid,0.67
distribution_shift_002,distribution_shift,synthetic,,vehicle,background_shift,0.55,True,valid,0.67
ood_001,ood,synthetic,,box,OOD_context,0.85,True,valid,0.49
ood_002,ood,synthetic,,box,OOD_context,0.85,True,valid,0.49
brightness_shift_001,brightness_shift,synthetic-transform,ref_person,person,brightness,0.45,True,valid,0.73
blur_001,blur,synthetic-transform,ref_person,person,blur,0.6,True,valid,0.64
noise_001,noise,synthetic-transform,ref_person,person,noise,0.5,True,valid,0.7
resize_shift_001,resize_shift,synthetic-transform,ref_person,person,resize,0.6,True,valid,0.64
rotation_001,rotation,synthetic-transform,ref_person,person,rotation,0.6,True,valid,0.64
occlusion_001,occlusion,synthetic-transform,ref_person,person,occlusion,0.65,True,valid,0.61
trigger_like_001,trigger_like,synthetic-transform,ref_person,person,localized_trigger_like_pattern,0.7,True,valid,0.58
